Date;Sugar;Cocoa
01/05/2004;6.6225;1412.961189
01/06/2004;7.514285714;1407.885456
01/07/2004;8.165714286;1567.864379
01/08/2004;7.879090909;1727.333603
01/09/2004;8.674285714;1541.136667
01/10/2004;8.963809524;1483.80205
01/11/2004;8.666;1665.708547
01/12/2004;8.795238095;1672.748829
01/01/2005;8.922;1550.215511
01/02/2005;9.323684211;1633.997603
01/03/2005;8.895;1764.45285
01/04/2005;8.525714286;1585.950389
01/05/2005;8.511428571;1509.46467
01/06/2005;9.033181818;1538.629959
01/07/2005;9.5975;1488.315932
01/08/2005;9.875217391;1482.230836
01/09/2005;10.81047619;1504.155998
01/10/2005;11.61285714;1453.830305
01/11/2005;11.808;1428.77721
01/12/2005;13.92714286;1517.610383
01/01/2006;16.187;1576.229801
01/02/2006;18.05263158;1545.4011
01/03/2006;17.08217391;1545.051276
01/04/2006;17.46263158;1552.340948
01/05/2006;16.90045455;1594.296279
01/06/2006;15.68909091;1605.780389
01/07/2006;15.857;1673.206545
01/08/2006;12.97956522;1612.94257
01/09/2006;12.3135;1566.336072
01/10/2006;11.50909091;1530.171
01/11/2006;11.732;1582.541812
01/12/2006;11.6965;1702.156248
01/01/2007;10.9035;1701.928111
01/02/2007;10.57157895;1811.152048
01/03/2007;10.36681818;1924.202511
01/04/2007;9.594;1975.432606
01/05/2007;9.086363636;2004.627095
01/06/2007;9.26047619;2012.51911
01/07/2007;9.895714286;2151.665852
01/08/2007;9.613043478;1902.091892
01/09/2007;9.851052632;1965.139166
01/10/2007;9.994782609;1916.669951
01/11/2007;9.896;1967.415923
01/12/2007;10.44631579;2119.846359
01/01/2008;11.65952381;2213.539139
01/02/2008;13.6075;2523.050631
01/03/2008;12.8765;2649.838708
01/04/2008;12.52272727;2628.329164
01/05/2008;10.9347619;2689.620271
01/06/2008;12.0652381;3021.756667
01/07/2008;13.20772727;2953.671564
01/08/2008;13.68142857;2812.444914
01/09/2008;14.02047619;2672.052452
01/10/2008;11.70217391;2258.676814
01/11/2008;11.82842105;2068.043427
01/12/2008;11.32;2432.906003
01/01/2009;12.244;2624.293134
01/02/2009;13.31210526;2660.466212
01/03/2009;12.92818182;2501.750942
01/04/2009;13.46952381;2555.166321
01/05/2009;15.466;2483.479259
01/06/2009;16.57590909;2700.366201
01/07/2009;17.80454545;2791.351222
01/08/2009;21.72;2956.663667
01/09/2009;23.45142857;3142.863876
01/10/2009;23.16090909;3372.503397
01/11/2009;22.769;3384.128086
01/12/2009;24.90272727;3517.543642
01/01/2010;21.90526316;3522.095398
01/02/2010;21.97894737;3276.545775
01/03/2010;18.14782609;3089.645814
01/04/2010;16.88571429;3221.237212
01/05/2010;15.105;3165.761094
01/06/2010;16.3;3230.827679
01/07/2010;17.69;3229.547226
01/08/2010;18.60363636;3071.714817
01/09/2010;22.66952381;2874.983614
01/10/2010;26.94380952;2927.454623
01/11/2010;26.42047619;2910.310916
01/12/2010;28.04090909;3047.062142
01/01/2011;29.73684211;3164.484358
01/02/2011;29.30631579;3471.096741
01/03/2011;25.9;3392.96852
01/04/2011;23.903;3113.508425
01/05/2011;21.84095238;3070.766345
01/06/2011;24.92454545;3015.640807
01/07/2011;29.471;3167.184078
01/08/2011;28.87434783;3064.309196
01/09/2011;26.63857143;2873.883127
01/10/2011;26.29857143;2680.046177
01/11/2011;24.51761905;2527.42714
01/12/2011;23.4152381;2200.605172
01/01/2012;24.0205;2307.761849
01/02/2012;23.416;2356.239881
01/03/2012;23.78818182;2359.251293
01/04/2012;22.477;2266.782894
01/05/2012;20.26545455;2309.507991
01/06/2012;20.09809524;2265.840096
01/07/2012;22.75714286;2349.818408
01/08/2012;20.56130435;2512.259833
01/09/2012;20.20631579;2620.283671
01/10/2012;20.38869565;2463.536882
01/11/2012;19.31333333;2478.163596
01/12/2012;19.202;2431.822005
01/01/2013;18.84571429;2275.435635
01/02/2013;18.20789474;2197.701824
01/03/2013;18.339;2153.358712
01/04/2013;17.66227273;2294.720347
01/05/2013;17.42636364;2345.728593
01/06/2013;16.956;2283.583873
01/07/2013;17.09636364;2308.529291
01/08/2013;17.24409091;2483.605747
01/09/2013;17.619;2616.047323
01/10/2013;18.8126087;2730.698586
01/11/2013;17.7485;2755.173382
01/12/2013;16.5447619;2824.539143
01/01/2014;15.70761905;2819.430961
01/02/2014;16.88526316;2992.764768
01/03/2014;17.88809524;3041.666977
01/04/2014;18.2147619;3050.612064
01/05/2014;18.24047619;3029.995431
01/06/2014;18.24190476;3174.306117
01/07/2014;18.73045455;3196.039428
01/08/2014;17.7247619;3270.267718
01/09/2014;16.54428571;3221.267374
01/10/2014;16.47565217;3100.829709
01/11/2014;15.87894737;2909.091367
01/12/2014;14.99227273;2946.945359
01/01/2015;15.0625;2915.604204
01/02/2015;14.51210526;2961.935714
01/03/2015;12.84090909;2878.033167
01/04/2015;12.91095238;2868.274454
01/05/2015;12.7035;3095.996715
01/06/2015;12.11363636;3239.884179
01/07/2015;11.87863636;3325.960108
01/08/2015;10.6747619;3154.01802
01/09/2015;12.13714286;3278.452361
01/10/2015;14.14181818;3197.339841
