Seasons;Observed;Proyeksi_LR
JAS;-0.113333333;-0.110838483
ASO;-0.19;-0.112670274
SON;-0.323333333;-0.30577552
OND;-0.443333333;-0.449070736
NDJ;-0.556666667;-0.510062237
DJF;NaN;-0.675006883
JFM;NaN;-0.698831025
FMA;NaN;-0.624218404
MAM;NaN;-0.577362137
AMJ;NaN;-0.550665376
MJJ;NaN;-0.503515641
JJA;NaN;-0.446028202
JAS;NaN;-0.381122053
ASO;NaN;-0.322993291
SON;NaN;-0.27231406
OND;NaN;-0.25270471
