Seasons;Observed;Average_Dynamical;Average_Statistical
JAS;-0.113333333;NaN;NaN
ASO;-0.19;NaN;NaN
SON;-0.323333333;NaN;NaN
OND;-0.443333333;NaN;NaN
NDJ;-0.556666667;NaN;NaN
DJF;NaN;NaN;NaN
JFM;NaN;NaN;NaN
FMA;NaN;-0.019;-0.255
MAM;NaN;0.273;-0.071
AMJ;NaN;0.540;0.115
MJJ;NaN;0.783;0.301
JJA;NaN;0.801;0.429
JAS;NaN;0.881;0.513
ASO;NaN;0.908;0.571
SON;NaN;0.776;0.647
OND;NaN;0.825;0.723
